Block_Penalty	Window_Size	Pearson_Corr_1bp	Pearson_Corr_10kb	Pearson_Corr_100kb	Log_Pearson_Corr_1bp	Log_Pearson_Corr_10kb	Log_Pearson_Corr_100kb	Spearman_Corr_1bp	Spearman_Corr_10kbSpearman_Corr_100kb	L2	Log_L2
20.0	20.0	0.2990551409464343	0.7335684817651826	0.7433327512957445	0.4710579832646016	0.7570527396059292	0.810685286716865	0.658875149769135	0.8827987829245765	0.7277167277167277	7.643951754378844e-05	2848.501822016227
20.0	25.0	0.4192310667604177	0.7500089059535657	0.759316197432584	0.5972478658515102	0.7879049900123829	0.8375496672725148	0.7449879874997261	0.8969435291654305	0.7466422466422465	7.385108073370962e-05	2687.039391342427
20.0	50.0	0.5725908317490778	0.7883148449128076	0.7847630677218009	0.7583511286790136	0.8690510396722874	0.9039258810679333	0.892349747629047	0.966257931722687	0.9096459096459096	6.886577355239144e-05	2453.8395026210997
50.0	20.0	0.25720076896006916	0.7145606992393181	0.6971294627579708	0.44224578897155303	0.7295408131681406	0.7530017118129555	0.7143597350349563	0.8875848608671963	0.7326007326007326	7.700250702019223e-05	2962.7140604493406
50.0	25.0	0.24807950490106284	0.7208667355278502	0.7075601158715642	0.42580240448613466	0.7405659247400437	0.7719017686478481	0.6743481499287888	0.8962640431873318	0.742979242979243	7.697084352015362e-05	2928.0100797883974
50.0	50.0	0.2903432004515934	0.7681370741925176	0.7591415264151555	0.48722875298058843	0.8097156231203301	0.8463275078486624	0.71666194285942	0.9217245147153023	0.7686202686202686	7.616309799031577e-05	2691.4738137832887
100.0	20.0	0.21870731086346876	0.7018201243097039	0.6010378758041225	0.3807478371602885	0.7145389460528151	0.6419714594822359	0.6735956599303893	0.8930035694671189	0.6549647439831743	7.750140318258387e-05	3096.545205984743
100.0	25.0	0.2118229719220502	0.6960463530055311	0.6022768051146824	0.36931135418934996	0.710473583032337	0.6443038188858592	0.6433233017030315	0.8870359447121865	0.6636727272839953	7.743266979752062e-05	3063.8950575570766
100.0	50.0	0.25667103069344127	0.7424467100215645	0.7167177117526657	0.44653225381109657	0.7658684298714489	0.7884359677894943	0.7208049948637708	0.9127859334763333	0.7197802197802197	7.676986268282818e-05	2830.269822949413
